Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1789		0.2958		0.7432		0.6414		0.00032675
115		0.1785		0.3454		0.7484		0.6173		0.00032518
116		0.1912		0.2974		0.7259		0.6291		0.00032361
117		0.1831		0.2953		0.7426		0.6260		0.00032203
118		0.1803		0.3207		0.7428		0.5818		0.00032045
119		0.1864		0.2750		0.7342		0.6255		0.00031888
120		0.1925		0.3000		0.7245		0.6213		0.00031730
121		0.1912		0.3026		0.7264		0.6322		0.00031572
122		0.1753		0.3502		0.7545		0.6313		0.00031414
123		0.1935		0.3576		0.7194		0.5955		0.00031256
124		0.1840		0.2942		0.7345		0.6249		0.00031098
125		0.1780		0.2772		0.7488		0.6506		0.00030940
126		0.1870		0.3070		0.7304		0.6161		0.00030782
127		0.1874		0.3009		0.7284		0.6173		0.00030624
128		0.1757		0.3453		0.7519		0.6124		0.00030465
129		0.1712		0.2828		0.7595		0.6449		0.00030307
130		0.1723		0.3050		0.7560		0.6335		0.00030148
131		0.1898		0.3134		0.7237		0.6132		0.00029989
132		0.1814		0.2753		0.7424		0.6259		0.00029830
133		0.1751		0.3004		0.7511		0.6088		0.00029671
134		0.1872		0.3337		0.7288		0.6395		0.00029512
135		0.1753		0.2978		0.7473		0.6402		0.00029353
136		0.1792		0.3749		0.7406		0.6291		0.00029194
137		0.1730		0.3194		0.7531		0.6440		0.00029035
138		0.1728		0.3413		0.7550		0.6421		0.00028876
139		0.1726		0.3483		0.7557		0.6180		0.00028716
140		0.1794		0.3512		0.7471		0.6022		0.00028556
141		0.1906		0.3064		0.7219		0.6215		0.00028397
142		0.1755		0.3412		0.7505		0.6107		0.00028237
143		0.1805		0.2981		0.7438		0.6382		0.00028077
144		0.1724		0.2879		0.7570		0.6228		0.00027917
145		0.1701		0.2851		0.7564		0.6537		0.00027757
146		0.1737		0.6024		0.7537		0.5867		0.00027597
147		0.1850		0.2701		0.7284		0.6609		0.00027437
148		0.1735		0.2641		0.7534		0.6632		0.00027276
149		0.1812		0.3146		0.7438		0.6076		0.00027116
150		0.1743		0.3662		0.7498		0.5890		0.00026955
151		0.1941		0.3489		0.7197		0.6263		0.00026794
152		0.1690		0.3251		0.7566		0.6318		0.00026634
153		0.1647		0.2848		0.7647		0.6373		0.00026473
154		0.1668		0.3026		0.7622		0.6148		0.00026312
155		0.1778		0.3286		0.7463		0.6232		0.00026150
156		0.1713		0.2914		0.7535		0.6436		0.00025989
157		0.1684		0.2859		0.7612		0.6611		0.00025828
158		0.1643		0.2924		0.7659		0.6517		0.00025666
159		0.1794		0.6444		0.7449		0.5586		0.00025505
160		0.1783		0.2900		0.7411		0.6314		0.00025343
161		0.1665		0.3081		0.7601		0.6275		0.00025181
162		0.1812		0.3058		0.7340		0.6419		0.00025019
163		0.1733		0.2982		0.7513		0.6333		0.00024857
164		0.1667		0.2815		0.7606		0.6610		0.00024695
165		0.1668		0.2854		0.7580		0.6379		0.00024533
166		0.1659		0.2658		0.7644		0.6553		0.00024370
