Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1715		0.2301		0.7314		0.6477		0.00032675
115		0.2039		0.2442		0.6762		0.6216		0.00032518
116		0.1756		0.2290		0.7207		0.6586		0.00032361
117		0.1723		0.2304		0.7291		0.6586		0.00032203
118		0.1751		0.2326		0.7281		0.6424		0.00032045
119		0.1690		0.2371		0.7308		0.6414		0.00031888
120		0.1784		0.2400		0.7143		0.6233		0.00031730
121		0.1741		0.2818		0.7295		0.6100		0.00031572
122		0.1766		0.2438		0.7194		0.6157		0.00031414
123		0.1694		0.2451		0.7335		0.6413		0.00031256
124		0.1736		0.2233		0.7242		0.6699		0.00031098
125		0.1722		0.2550		0.7250		0.6191		0.00030940
126		0.1747		0.5212		0.7260		0.5849		0.00030782
127		0.1775		0.2260		0.7177		0.6425		0.00030624
128		0.1723		0.2263		0.7217		0.6692		0.00030465
129		0.1717		0.2190		0.7306		0.6739		0.00030307
130		0.1659		0.2500		0.7369		0.6123		0.00030148
131		0.1718		0.2274		0.7314		0.6581		0.00029989
132		0.1743		0.2383		0.7208		0.6466		0.00029830
133		0.1756		0.2263		0.7174		0.6624		0.00029671
134		0.1618		0.2532		0.7455		0.6259		0.00029512
135		0.1758		0.2467		0.7109		0.6372		0.00029353
136		0.1696		0.2282		0.7311		0.6619		0.00029194
137		0.1640		0.2159		0.7414		0.6565		0.00029035
138		0.1633		0.2203		0.7420		0.6662		0.00028876
139		0.1672		0.2235		0.7303		0.6535		0.00028716
140		0.1658		0.2518		0.7368		0.6433		0.00028556
141		0.1715		0.2356		0.7264		0.6582		0.00028397
142		0.1606		0.2319		0.7461		0.6536		0.00028237
143		0.1627		0.2274		0.7403		0.6515		0.00028077
144		0.1590		0.2489		0.7479		0.6194		0.00027917
145		0.1709		0.2278		0.7226		0.6507		0.00027757
146		0.1651		0.2305		0.7382		0.6591		0.00027597
147		0.1595		0.2250		0.7471		0.6751		0.00027437
148		0.1706		0.2366		0.7191		0.6463		0.00027276
149		0.1650		0.2197		0.7398		0.6726		0.00027116
150		0.1585		0.2195		0.7466		0.6734		0.00026955
151		0.1616		0.2338		0.7433		0.6490		0.00026794
152		0.1663		0.2186		0.7337		0.6763		0.00026634
153		0.1558		0.2194		0.7566		0.6677		0.00026473
154		0.1612		0.2313		0.7460		0.6642		0.00026312
155		0.1563		0.2259		0.7484		0.6650		0.00026150
156		0.1597		0.2439		0.7488		0.6241		0.00025989
157		0.1708		0.2288		0.7254		0.6518		0.00025828
158		0.1588		0.2337		0.7471		0.6413		0.00025666
159		0.1613		0.2136		0.7393		0.6797		0.00025505
160		0.1530		0.2158		0.7566		0.6823		0.00025343
161		0.1547		0.2231		0.7548		0.6612		0.00025181
162		0.1565		0.2501		0.7504		0.6361		0.00025019
163		0.1581		0.2268		0.7497		0.6698		0.00024857
164		0.1591		0.2159		0.7482		0.6814		0.00024695
165		0.1537		0.2463		0.7527		0.6356		0.00024533
166		0.1621		0.2193		0.7420		0.6757		0.00024370
167		0.1531		0.2389		0.7609		0.6455		0.00024208
168		0.1596		0.2230		0.7394		0.6589		0.00024045
169		0.1511		0.2303		0.7583		0.6607		0.00023882
170		0.1605		0.2140		0.7408		0.6831		0.00023719
171		0.1515		0.2482		0.7624		0.6348		0.00023556
172		0.1559		0.2970		0.7529		0.6163		0.00023393
173		0.1534		0.2215		0.7508		0.6786		0.00023230
174		0.1475		0.2240		0.7681		0.6481		0.00023067
175		0.1575		0.2728		0.7475		0.6060		0.00022903
176		0.1530		0.2372		0.7549		0.6628		0.00022739
177		0.1533		0.2455		0.7503		0.6184		0.00022576
178		0.1533		0.2267		0.7542		0.6731		0.00022412
179		0.1519		0.2397		0.7607		0.6620		0.00022248
180		0.1454		0.2182		0.7677		0.6753		0.00022083
181		0.1448		0.2362		0.7693		0.6547		0.00021919
182		0.1636		0.2392		0.7356		0.6341		0.00021755
183		0.1552		0.2148		0.7519		0.6755		0.00021590
184		0.1471		0.2242		0.7642		0.6685		0.00021425
185		0.1480		0.2342		0.7669		0.6374		0.00021260
186		0.1481		0.2200		0.7614		0.6583		0.00021095
187		0.1462		0.2231		0.7683		0.6687		0.00020930
188		0.1484		0.2173		0.7644		0.6816		0.00020765
189		0.1421		0.2136		0.7737		0.6747		0.00020600
190		0.1460		0.2279		0.7614		0.6678		0.00020434
191		0.1513		0.2535		0.7520		0.6321		0.00020268
